Structure,Name,Level,HP,Atk Range,Inf. Range,Damage,Cost,Interval,Influence,Vision,Interceptable,AutoRule,BuildOn,Description
Rocket Launcher,RL1,1,108,7,-,52,225,10.2s,-,6,Yes,"Closest→Lowest HP→Random",Own tiles,"Medium-range missile. Consumes 1 missile/shot."
Rocket Launcher,RL2,2,240,10,-,74,325 (upg 250),7.1s,-,8,Yes,"Closest→Lowest HP→Random",Own tiles,"Extended range. Higher damage per shot."
Rocket Launcher,RL3,3,413,14,-,102,425 (upg 327),5.05s,-,11,Yes,"Closest→Lowest HP→Random",Own tiles,"Long-range. Consumes 2 missiles. 30% chance per hit to deal 50% splash to adjacent enemies."
Anti Air System,AAS1,1,105,4,-,-,205,10.7s (recharge x1),-,5,-,Auto-intercept in range,Own tiles,"Intercepts rockets, air base missiles, and drones. Cap 4."
Anti Air System,AAS2,2,237,6,-,-,305 (upg 235),7.5s (recharge x2),-,7,-,Auto-intercept in range,Own tiles,"Extended range. Deeper magazine. Cap 6."
Anti Air System,AAS3,3,412,9,-,-,405 (upg 312),5.3s (recharge x3),-,9,-,Auto-intercept in range,Own tiles,"Strategic-tier SAM. Cap 9. Fast recharge. 20% chance +1 intercept charge on recharge."
Missile Factory,MF1,1,105,-,-,-,230,~11.1s (+1),-,4,-,-,Own tiles,"Produces 1 missile per cycle."
Missile Factory,MF2,2,233,-,-,-,330 (upg 254),~10.6s (+3),-,5,-,-,Own tiles,"Produces 3 missiles per cycle."
Missile Factory,MF3,3,399,-,-,-,430 (upg 331),~10s (+5),-,6,-,-,Own tiles,"Produces 5 missiles per cycle. High output justifies cost."
Government,G1,1,375,-,4,-,1525,-,2000,8,-,-,Own tiles,"Capitol. 2000 influence inf. range 4. +0.50 gold/tile/s. 5s warmup."
Government,G2,2,1081,-,6,-,2019 (upg 1554),-,3050,10,-,-,Own tiles,"Regional power. 3050 influence inf. range 6. +0.35 gold/tile/s."
Government,G3,3,2457,-,9,-,2800 (upg 2156),-,6050,12,-,-,Own tiles,"Metropolis. 6050 influence inf. range 9. +0.25 gold/tile/s."
Drone Operator,D1,1,58,5,-,11,155,6.2s,-,5,Yes (each projectile),"Closest→Lowest HP→Random",Own tiles,"Cheap. 1 projectile/volley. Interceptable."
Drone Operator,D2,2,125,6,-,13,205 (upg 158),5.25s,-,6,Yes (each projectile),"Closest→Lowest HP→Random",Own tiles,"2 projectiles/volley. Burns AAS charges."
Drone Operator,D3,3,200,7,-,13,255 (upg 196),4.75s,-,7,Yes (each projectile),"Closest→Lowest HP→Random",Own tiles,"3 projectiles/volley. Overwhelms AAS. Jams enemy military in range."
Militia,M1,1,40,2,-,38,135,7.6s,-,4,No,"Closest→Lowest HP→Random","Own/neutral tiles","Cheap harasser. Range 2. Non-interceptable."
Militia,M2,2,86,3,-,40,185 (upg 143),5.4s,-,5,No,"Closest→Lowest HP→Random","Own/neutral tiles","Motorized. Range 3. Non-interceptable."
Militia,M3 (Militia HQ),3,155,3,1,40,1500 (upg 1155),-,900,6,-,Mini-government,-,"Militia HQ: 900 influence inf. range 1. +0.3 gold/tile/s. Range 3 attack."
